name,lon,lat
LA HALLE AUX CHAUSSURES PLANCOET,48.52611,-2.24138
LA HALLE YQUELON - GRANVILLE,48.838197715,-1.55870446
LA HALLE AUX CHAUSSURES COUTANCES,49.06871378,-1.43001463
LA HALLE SAINT-BRIEUC - PLÃRIN,48.533194,-2.762722
LA HALLE LAVAL,48.077911875,-0.79932592
LA HALLE MAYENNE,48.28593,-0.620988
LA HALLE AUX CHAUSSURES AZE CHÃTEAU GONTHIER,47.82805189,-0.68728291
LA HALLE VITRÃ,48.107378999999995,-1.218483
LA HALLE FOUGÃRES,48.34863785,-1.1934235
LA HALLE SABLÃ-SUR-SARTHE,47.83385737,-0.30613302
LA HALLE AUX CHAUSSURES VIRE,48.85630916,-0.87491315
LA HALLE AUX CHAUSSURES FLERS,48.72760943,-0.58096954
LA HALLE SAINT-LÃ - AGNEAUX,49.111491525,-1.13250668
LA HALLE CHAUSSURES ET MAROQUINERIE CAEN MONDEVILLE,49.1682265,-0.3105295
LA HALLE AUX CHAUSSURES CAEN COTE,49.20945543,-0.36764474
LA HALLE AUX CHAUSSURES ARGENTAN,48.75309141,-0.03446142
LA HALLE AVRANCHES,48.691715040000005,-1.3676526199999999
LA HALLE FLEURANCE,43.861999999999995,0.65906
LA HALLE CONDOM,43.95103,0.3701
LA HALLE AGEN,44.187275,0.6211175
LA HALLE CASTELSARRASIN,44.050349499999996,1.102881
LA HALLE AUCH,43.649739999999994,0.59475
LA HALLE AUX ADULTESMONTAUBAN,44.0189375,1.369055
LA HALLE COLOMIERS,43.611019,1.3317855
TOULOUSE BLAGNAC,43.649517149999994,1.37525075
LA HALLE BIAS - VILLENEUVE-SUR-LOT,44.403104,0.6770735
LA HALLE AUX CHAUSSURES FUMEL,44.48472,0.97462
La HALLE BERGERAC,44.835995,0.44819
LA HALLE VETEMENTS - CHAUSSURES TONNEINS,44.398995,0.29976349999999996
LA HALLE PINEUILH,44.82531,0.22353499999999998
LA HALLE MODE & ACCESSOIRES,44.87629,1.2139
LA HALLE AUX CHAUSSURES MARMANDE,44.51286,0.13233
LA HALLE ALBI,43.918955,2.1179699999999997
LA HALLE CARMAUX,44.052317,2.1601850000000002
LA HALLE AUX CHAUSSURES GAILLAC,43.89325,1.87981
LA HALLE LAVAUR,43.7025225,1.8106245
LA HALLE CAUSSADE,44.157997,1.542131
LA HALLE TOULOUSE - GRAMONT,43.632159,1.4847920000000001
LA HALLE TOULOUSE - SAINT-ALBAN,43.68558,1.40691
LA HALLE CAPDENAC,44.601574,2.0477455
LA HALLE VILLEFRANCHE-DE-ROUERGUE,44.355283,2.0174805
LA HALLE AURILLAC,44.90959,2.44527
LA HALLE RODEZ - SÃBAZAC-CONCOURÃS,44.399485,2.605
LA HALLE AUX CHAUSSURES RODEZ GEANT,44.37224,2.58674
LA HALLE CAHORS,44.46065,1.422405
LA HALLE LATOUR BAS ELNE,42.60665,2.99571
LA HALLE AUX CHAUSSURES PERPIGNAN MOULIN A VENT,42.68676,2.90561
LA HALLE AUX CHAUSSURES PERPIGNAN AUCHAN,42.678824,2.891975
LA HALLE RIVESALTES,42.773700000000005,2.910595
LA HALLE AUX CHAUSSURES AGDE,43.30615,3.49306
